iter	Logloss
0	0.6843673999
1	0.6760680964
2	0.6646581509
3	0.6585980761
4	0.6487548188
5	0.640987865
6	0.6336854583
7	0.6252741201
8	0.6183217406
9	0.6124237765
10	0.6067795183
11	0.6006042341
12	0.5949922885
13	0.5899371506
14	0.583957921
15	0.5801618222
16	0.5758820041
17	0.5696390694
18	0.5660186344
19	0.5618726194
20	0.557462162
21	0.5530359654
22	0.5493784069
23	0.5467083835
24	0.5425137406
25	0.5396713598
26	0.5361775609
27	0.5328675754
28	0.5300996293
29	0.5271456447
30	0.5230063775
31	0.520734687
32	0.5190052425
33	0.5169837258
34	0.5146106539
35	0.511573335
36	0.5095628252
37	0.5070503465
38	0.5051522045
39	0.502993859
40	0.5012798626
41	0.4995089361
42	0.4973951639
43	0.4958135449
44	0.4932453069
45	0.4921995093
46	0.4906731148
47	0.489158411
48	0.4878622492
49	0.4854246499
50	0.4834732222
51	0.4822273966
52	0.4811298503
53	0.4789976533
54	0.4776522646
55	0.4764534337
56	0.4749125563
57	0.4733746112
58	0.4719387043
59	0.4708768756
60	0.4700178076
61	0.468953963
62	0.468207759
63	0.4669854332
64	0.4660336179
65	0.4647538126
66	0.4629242648
67	0.4616237032
68	0.4611617085
69	0.4601591577
70	0.4592116705
71	0.4583489273
72	0.4575205438
73	0.4562131958
74	0.4544863147
75	0.452767967
76	0.4521108152
77	0.4510727636
78	0.4503577755
79	0.4496205035
80	0.4486140552
81	0.4481200785
82	0.4472878225
83	0.4466878533
84	0.4460819475
85	0.4455009817
86	0.4446117222
87	0.4438842023
88	0.4429415862
89	0.4420133563
90	0.4412924276
91	0.4407754556
92	0.4401979857
93	0.4394055676
94	0.4386662735
95	0.4381574944
96	0.4376080514
97	0.4368117005
98	0.4362158043
99	0.4353208591
100	0.434862363
101	0.43424494
102	0.4336819914
103	0.4335613388
104	0.4328592439
105	0.4323693825
106	0.4319019316
107	0.4311428579
108	0.4306101027
109	0.4299849677
110	0.4294754428
111	0.4289339129
112	0.4286272759
113	0.428071089
114	0.4271211013
115	0.4267824031
116	0.4263025261
117	0.4259395695
118	0.4251218014
119	0.4245632838
120	0.4238924265
121	0.4235753996
122	0.4228039573
123	0.4224512948
124	0.4220737482
125	0.4215265281
126	0.4210591824
127	0.4203872603
128	0.4201639181
129	0.4195753368
130	0.4190629701
131	0.4185298814
132	0.4180109098
133	0.4175669613
134	0.4173152006
135	0.4169203782
136	0.4168378067
137	0.4165536999
138	0.4162599974
139	0.4156596266
140	0.4150966107
141	0.4147567344
142	0.4143799201
143	0.4141469681
144	0.4136085679
145	0.4133274183
146	0.4127684336
147	0.4117525039
148	0.4116109945
149	0.4112083009
150	0.4108322143
151	0.4103908579
152	0.4101880851
153	0.4094476213
154	0.4090494542
155	0.4085705767
156	0.4078822611
157	0.4078563632
158	0.4075445445
159	0.4072915638
160	0.407174675
161	0.4070090093
162	0.4066599888
163	0.4065050014
164	0.4058655533
165	0.405442696
166	0.4051912524
167	0.4050342509
168	0.4048784692
169	0.4045148551
170	0.4045055352
171	0.4039642831
172	0.4035513704
173	0.4033642891
174	0.4032049117
175	0.4027774451
176	0.4019436874
177	0.4017114203
178	0.4015818535
179	0.4011121019
180	0.4008958325
181	0.4005228139
182	0.4004938807
183	0.3998071035
184	0.3997257597
185	0.3992523067
186	0.3990012988
187	0.3985165455
188	0.3981783123
189	0.3979420845
190	0.3976812393
191	0.3973102314
192	0.3970740235
193	0.3967831268
194	0.3962773
195	0.3962688569
196	0.3960204897
197	0.3957961363
198	0.3952757755
199	0.3949546805
200	0.3948527965
201	0.3947040585
202	0.3945198716
203	0.3943276819
204	0.3939854499
205	0.3937242886
206	0.3934833728
207	0.3931989719
208	0.3925923567
209	0.3923382842
210	0.3920670182
211	0.3916987669
212	0.3913888204
213	0.3912553844
214	0.3910828199
215	0.390689869
216	0.3904345972
217	0.390161493
218	0.3900088249
219	0.389986845
220	0.3897686744
221	0.3892205658
222	0.3889323375
223	0.3885634317
224	0.3879554525
225	0.387474271
226	0.3871280645
227	0.3865654545
228	0.386308773
229	0.3861571511
230	0.3858695832
231	0.3856060147
232	0.3853354172
233	0.3852492944
234	0.3850473637
235	0.3849593368
236	0.38466475
237	0.3843821059
238	0.3842987241
239	0.3842590371
240	0.3839511931
241	0.3837583834
242	0.3835193476
243	0.383389572
244	0.383219717
245	0.3828448353
246	0.3826667758
247	0.3824324696
248	0.3821627984
249	0.3819346163
250	0.3817346664
251	0.3814237487
252	0.3812576981
253	0.3809718002
254	0.3807504641
255	0.3803826602
256	0.3802960053
257	0.3801032181
258	0.3799825028
259	0.379764467
260	0.3795922082
261	0.3794795782
262	0.3793227309
263	0.3791936514
264	0.3789750386
265	0.3788228723
266	0.3784167127
267	0.3783871397
268	0.3782330117
269	0.377969771
270	0.3778719277
271	0.3773002249
272	0.3771047487
273	0.3768953944
274	0.3767242987
275	0.3765469208
276	0.3763005741
277	0.3761545445
278	0.3758409441
279	0.3756213129
280	0.3752845629
281	0.3749984327
282	0.3748751967
283	0.3744852909
284	0.374026308
285	0.373819078
286	0.3737025036
287	0.3736011079
288	0.3734036905
289	0.3731552043
290	0.3730147743
291	0.3726840842
292	0.3723687221
293	0.372184091
294	0.372101089
295	0.3718828853
296	0.3716470018
297	0.371464028
298	0.3713412985
299	0.3711538989
300	0.3710341776
301	0.3708730265
302	0.3707313014
303	0.3702349132
304	0.3701596752
305	0.3698181943
306	0.3695900994
307	0.3693294987
308	0.3689775336
309	0.3688232745
310	0.3685642613
311	0.368400859
312	0.3681995441
313	0.3679412722
314	0.3677884663
315	0.3676184471
316	0.3674874252
317	0.3673517229
318	0.3669687616
319	0.3668150495
320	0.3666148596
321	0.3663954651
322	0.3659697076
323	0.3656251466
324	0.3654901861
325	0.3652668972
326	0.3651306448
327	0.3650186871
328	0.3645510142
329	0.3642770164
330	0.3640919766
331	0.3638156458
332	0.3633435929
333	0.363248676
334	0.3630903028
335	0.3629425886
336	0.3627130297
337	0.3623048616
338	0.3621298922
339	0.3618772554
340	0.3617314636
341	0.3616137254
342	0.3613613691
343	0.361298555
344	0.3611609857
345	0.3608059477
346	0.3606668996
347	0.3601597266
348	0.3600296674
349	0.3597315911
350	0.3595537883
351	0.359252328
352	0.358956316
353	0.358762697
354	0.358527218
355	0.3583663771
356	0.3581152493
357	0.3579874223
358	0.3576888618
359	0.3572113213
360	0.356827885
361	0.3566168172
362	0.3563931386
363	0.3560771888
364	0.3559190978
365	0.3558280295
366	0.355601277
367	0.3553007663
368	0.355159863
369	0.3549358927
370	0.3544511107
371	0.3542096287
372	0.3540296658
373	0.3538975778
374	0.3535678558
375	0.3533029277
376	0.3530187414
377	0.3527525946
378	0.3525647784
379	0.3523872103
380	0.352070872
381	0.3518735282
382	0.3516442372
383	0.351495291
384	0.3512072307
385	0.3509449841
386	0.350720938
387	0.3505568441
388	0.3503229054
389	0.3501535638
390	0.3500007067
391	0.3498521858
392	0.3495471916
393	0.3494740168
394	0.3490564825
395	0.3485552157
396	0.3482961563
397	0.3480037492
398	0.3476515126
399	0.3475351018
400	0.3473199616
401	0.3471444171
402	0.3469353786
403	0.3466587214
404	0.3465114405
405	0.3461614792
406	0.345997601
407	0.3458530933
408	0.3456303031
409	0.3453773815
410	0.3451625442
411	0.344743482
412	0.3445829365
413	0.3442628849
414	0.3439852342
415	0.343737826
416	0.3434906006
417	0.3433679167
418	0.3431748291
419	0.3430145107
420	0.3428557831
421	0.3425488647
422	0.3422288371
423	0.3420397611
424	0.3419090849
425	0.3414329075
426	0.3412931751
427	0.3410409767
428	0.3407056419
429	0.340560539
430	0.3403370814
431	0.3401179218
432	0.339965414
433	0.3396709079
434	0.3392677974
435	0.3388690675
436	0.3387134204
437	0.3384507501
438	0.3381217908
439	0.3377469332
440	0.3376051764
441	0.3372610485
442	0.3370736964
443	0.336828997
444	0.3365549271
445	0.3361829899
446	0.33590262
447	0.335776081
448	0.3353647045
449	0.3351772534
450	0.3347303575
451	0.3343635995
452	0.3340727242
453	0.333757436
454	0.3336323599
455	0.3334018688
456	0.3331517703
457	0.3329293835
458	0.3325803024
459	0.3324059887
460	0.3320938076
461	0.3319307423
462	0.3316386997
463	0.3314290157
464	0.3311648096
465	0.3308588723
466	0.3307040684
467	0.3304110165
468	0.3302174481
469	0.3300702911
470	0.3299042669
471	0.3296801494
472	0.3293623349
473	0.329180922
474	0.3289738864
475	0.3286368567
476	0.3284923062
477	0.3282735243
478	0.3280713191
479	0.3278058106
480	0.3274575375
481	0.3272103049
482	0.3270185765
483	0.3266101292
484	0.3263933527
485	0.3260423859
486	0.3258383796
487	0.3256443863
488	0.3255056634
489	0.3253595642
490	0.3251621667
491	0.324796113
492	0.3245635819
493	0.3241586765
494	0.3240330961
495	0.3237650529
496	0.3235666043
497	0.3234366407
498	0.3232024319
499	0.3228705964
500	0.322633832
501	0.3223606636
502	0.3222515297
503	0.3219196237
504	0.3216734041
505	0.321447912
506	0.321270209
507	0.3211730274
508	0.3209295501
509	0.3207683781
510	0.3205080487
511	0.3202804675
512	0.3200717286
513	0.3197747065
514	0.3196576974
515	0.3194404535
516	0.3192137008
517	0.3189763742
518	0.3188061062
519	0.3185037037
520	0.318322023
521	0.3181597418
522	0.3179650821
523	0.3177662289
524	0.3175842274
525	0.3174374222
526	0.3172224041
527	0.3169498945
528	0.3167072014
529	0.3165044819
530	0.3161642845
531	0.3160313938
532	0.3157276365
533	0.3154673325
534	0.3153339611
535	0.3152423491
536	0.3150687067
537	0.3149584617
538	0.3148155008
539	0.3146575721
540	0.3145143858
541	0.3143378513
542	0.3141540939
543	0.3139701905
544	0.313761292
545	0.3135752216
546	0.3133583693
547	0.3131043476
548	0.3129024061
549	0.3127267402
550	0.312536537
551	0.3123243413
552	0.312106044
553	0.3120001709
554	0.3119008911
555	0.3118201706
556	0.3116495331
557	0.3115056703
558	0.3113155912
559	0.3111095449
560	0.3108890167
561	0.3106711985
562	0.3104507351
563	0.3102296964
564	0.3101082325
565	0.3098971833
566	0.3098174021
567	0.3096523244
568	0.3093498427
569	0.3091813622
570	0.3090195014
571	0.3088164501
572	0.3085060625
573	0.3083576913
574	0.3081419978
575	0.3080317493
576	0.3077989781
577	0.3076435092
578	0.307488097
579	0.3072778277
580	0.3070750118
581	0.3068703505
582	0.3067331745
583	0.3065369214
584	0.3063413132
585	0.3061658184
586	0.3059539076
587	0.3057365809
588	0.3056135212
589	0.3054033948
590	0.3052452455
591	0.3051211495
592	0.3049456952
593	0.3048119263
594	0.3047018469
595	0.3045664828
596	0.3042838448
597	0.304039535
598	0.3038383908
599	0.3036821619
600	0.3035990536
601	0.3035178464
602	0.303328712
603	0.3031699645
604	0.3030632722
605	0.3028900511
606	0.3027085151
607	0.3024621028
608	0.302292667
609	0.3020952875
610	0.3019197908
611	0.3015845
612	0.3013604882
613	0.3012106095
614	0.3009966943
615	0.3007943792
616	0.3007065522
617	0.3004803505
618	0.3003284869
619	0.3001649444
620	0.3000048795
621	0.2998666806
622	0.2996760624
623	0.299477854
624	0.29925698
625	0.299099778
626	0.2989647074
627	0.2988266891
628	0.2986231242
629	0.2984890693
630	0.2983476836
631	0.2981812384
632	0.2980267359
633	0.2979481777
634	0.2976521816
635	0.2974777348
636	0.2972933239
637	0.2970304029
638	0.2967733981
639	0.2965910286
640	0.2964161494
641	0.2963324962
642	0.2961823488
643	0.2960568153
644	0.2959789213
645	0.295840591
646	0.2956092973
647	0.2953552985
648	0.2951260963
649	0.2950007461
650	0.2948369398
651	0.2947173067
652	0.2946495956
653	0.2943785893
654	0.2943164053
655	0.2941434981
656	0.2939625793
657	0.2937366509
658	0.2935755255
659	0.2933263278
660	0.2931629983
661	0.2930281847
662	0.2928949452
663	0.2927723761
664	0.2926104552
665	0.2924463297
666	0.2923173829
667	0.2921688173
668	0.2920432534
669	0.29179153
670	0.2916310955
671	0.2914226414
672	0.2912798374
673	0.2911226544
674	0.2910652518
675	0.2908878836
676	0.2907835126
677	0.2906879124
678	0.2905492576
679	0.2903343674
680	0.2901610155
681	0.2899884464
682	0.2899123543
683	0.2897782505
684	0.2895822295
685	0.2893393042
686	0.2891746233
687	0.2889709945
688	0.2888066837
689	0.2887384695
690	0.2886711459
