iter	Passed	Remaining
0	7	7804
1	8	4391
2	10	3616
3	12	3184
4	13	2735
5	15	2568
6	17	2444
7	19	2386
8	20	2311
9	22	2259
10	24	2229
11	26	2184
12	28	2154
13	30	2143
14	32	2130
15	34	2117
16	36	2129
17	38	2109
18	40	2088
19	42	2067
20	44	2064
21	46	2063
22	48	2048
23	50	2040
24	52	2028
25	53	2021
26	55	2013
27	57	2010
28	59	2006
29	61	2000
30	63	1995
31	65	1987
32	67	1979
33	69	1970
34	71	1967
35	73	1959
36	75	1955
37	76	1937
38	78	1934
39	80	1929
40	82	1925
41	84	1921
42	86	1918
43	88	1919
44	90	1913
45	92	1908
46	93	1904
47	95	1887
48	97	1884
49	99	1882
50	101	1881
51	103	1878
52	104	1872
53	106	1869
54	108	1867
55	110	1865
56	112	1860
57	114	1856
58	116	1853
59	118	1850
60	120	1848
61	122	1845
62	123	1841
63	125	1838
64	127	1836
65	129	1833
66	131	1829
67	133	1826
68	135	1823
69	137	1821
70	138	1818
71	140	1814
72	142	1813
73	144	1811
74	146	1810
75	148	1808
76	150	1807
77	152	1805
78	154	1804
79	156	1802
80	158	1799
81	160	1795
82	162	1793
83	164	1791
84	166	1790
85	168	1788
86	170	1787
87	172	1784
88	173	1779
89	175	1777
90	177	1775
91	179	1772
92	181	1771
93	183	1769
94	185	1766
95	187	1764
96	189	1762
97	191	1758
98	193	1756
99	195	1755
100	197	1754
101	198	1751
102	200	1749
103	202	1745
104	204	1743
105	206	1742
106	208	1739
107	210	1736
108	212	1734
109	214	1732
110	216	1730
111	217	1728
112	219	1725
113	221	1722
114	223	1721
115	225	1717
116	227	1715
117	229	1713
118	230	1710
119	233	1709
120	235	1707
121	236	1705
122	238	1702
123	240	1699
124	242	1696
125	244	1695
126	246	1694
127	248	1692
128	250	1690
129	252	1687
130	253	1684
131	255	1682
132	257	1680
133	259	1678
134	261	1677
135	263	1674
136	265	1672
137	267	1670
138	269	1668
139	271	1666
140	273	1664
141	275	1662
142	276	1659
143	278	1657
144	280	1655
145	282	1653
146	284	1651
147	286	1649
148	288	1647
149	290	1645
150	292	1644
151	294	1642
152	296	1639
153	298	1638
154	300	1635
155	302	1634
156	304	1632
157	305	1630
158	308	1629
159	310	1627
160	311	1624
161	313	1622
162	315	1621
163	317	1620
164	319	1618
165	321	1616
166	323	1615
167	325	1613
168	327	1610
169	329	1608
170	331	1606
171	333	1604
172	335	1602
173	337	1603
174	339	1601
175	341	1599
176	343	1596
177	345	1595
178	347	1592
179	349	1590
180	351	1589
181	353	1587
182	355	1585
183	357	1583
184	359	1585
185	361	1583
186	363	1580
187	365	1578
188	367	1576
189	369	1573
190	370	1571
191	372	1568
192	374	1566
193	376	1564
194	378	1562
195	380	1560
196	382	1558
197	384	1556
198	386	1554
199	388	1552
200	389	1550
201	391	1548
202	393	1546
203	395	1542
204	397	1539
205	398	1537
206	400	1535
207	402	1533
208	404	1532
209	406	1530
210	408	1527
211	410	1525
212	412	1523
213	414	1521
214	416	1519
215	418	1517
216	420	1518
217	422	1516
218	424	1514
219	426	1512
220	428	1510
221	430	1509
222	432	1506
223	434	1503
224	436	1502
225	437	1499
226	439	1497
227	441	1495
228	443	1493
229	445	1491
230	447	1490
231	449	1487
232	451	1486
233	453	1484
234	455	1482
235	457	1480
236	459	1478
237	461	1476
238	463	1474
239	464	1471
240	466	1469
241	468	1467
242	470	1465
243	472	1462
244	474	1461
245	476	1459
246	478	1457
247	480	1455
248	482	1454
249	484	1452
250	486	1450
251	488	1449
252	490	1447
253	492	1445
254	494	1443
255	495	1440
256	498	1440
257	500	1438
258	501	1435
259	503	1433
260	505	1431
261	507	1428
262	509	1427
263	511	1425
264	513	1423
265	515	1421
266	517	1419
267	518	1417
268	520	1415
269	522	1413
